epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,409.504,0.34597,0.4177,0.82575,0.99863,1,0.995,0.95344,0.30577,0.33259,0.79938,0.00014768,0.00014768,0.00014768
54,416.722,0.35912,0.45499,0.80245,0.99867,1,0.995,0.96911,0.27654,0.3124,0.79314,0.00013303,0.00013303,0.00013303
55,424.243,0.36818,0.42618,0.84145,0.99867,1,0.995,0.96911,0.27654,0.3124,0.79314,0.00011772,0.00011772,0.00011772
56,431.786,0.32297,0.39971,0.86023,0.99867,1,0.995,0.96911,0.27654,0.3124,0.79314,0.00010175,0.00010175,0.00010175
57,439.19,0.36929,0.42386,0.84478,0.99868,1,0.995,0.97691,0.25626,0.29508,0.78907,8.512e-05,8.512e-05,8.512e-05
58,446.441,0.33235,0.39872,0.82981,0.99868,1,0.995,0.97691,0.25626,0.29508,0.78907,6.783e-05,6.783e-05,6.783e-05
59,453.569,0.33935,0.35379,0.77511,0.99868,1,0.995,0.97691,0.25626,0.29508,0.78907,4.988e-05,4.988e-05,4.988e-05
60,460.967,0.32473,0.3567,0.83796,0.9986,1,0.995,0.9754,0.24658,0.28566,0.78708,3.127e-05,3.127e-05,3.127e-05
1,8.47042,1.35376,2.43838,1.41771,0.36561,0.52632,0.37108,0.27287,0.77096,1.67956,1.09487,0,0,0
2,15.9145,1.3073,2.28634,1.40893,0.41759,0.53947,0.41873,0.31412,0.72989,1.60593,1.06672,1.967e-05,1.967e-05,1.967e-05
3,23.1991,1.34553,2.21368,1.43949,0.54118,0.55263,0.5216,0.4002,0.66393,1.4807,1.02707,3.868e-05,3.868e-05,3.868e-05
4,30.9709,1.16874,1.80666,1.32423,0.56535,0.72368,0.60866,0.48661,0.60383,1.43063,0.98657,5.703e-05,5.703e-05,5.703e-05
5,39.3707,0.90474,1.3913,1.11829,0.68795,0.78947,0.72417,0.60339,0.55046,1.48546,0.94861,7.472e-05,7.472e-05,7.472e-05
6,46.5728,0.80788,1.07232,1.07026,0.75174,0.9164,0.83359,0.71984,0.51677,1.54047,0.92945,9.175e-05,9.175e-05,9.175e-05
7,55.0421,0.67418,1.07652,1.01158,0.84388,0.92465,0.9261,0.78281,0.52888,1.39158,0.92276,0.00010812,0.00010812,0.00010812
8,63.7797,0.62249,0.84784,0.98196,0.93333,0.96053,0.96299,0.8141,0.54412,1.14325,0.91782,0.00012383,0.00012383,0.00012383
9,72.459,0.5871,0.78766,0.97233,0.92584,0.98684,0.96398,0.81933,0.53692,0.98107,0.91454,0.00013888,0.00013888,0.00013888
10,81.0672,0.59973,0.68086,0.94778,0.93982,0.98684,0.96184,0.83392,0.50272,1.0121,0.89876,0.00015327,0.00015327,0.00015327
11,90.0814,0.57541,0.64773,0.98075,0.9486,0.97138,0.96954,0.84777,0.47573,1.13607,0.89143,0.000167,0.000167,0.000167
12,98.8976,0.53091,0.56435,0.94297,0.91781,0.97368,0.97145,0.85104,0.46959,1.08125,0.8871,0.00018007,0.00018007,0.00018007
13,107.185,0.57204,0.55204,0.90658,0.9148,0.98897,0.98914,0.87774,0.45832,0.9403,0.8799,0.00019248,0.00019248,0.00019248
14,115.022,0.56083,0.5104,0.92787,0.94667,1,0.9945,0.89134,0.46422,0.83871,0.8802,0.00020423,0.00020423,0.00020423
